site_id,gradebook_item_id,item_name,item_source,external_id,points_possible,due_date,released,category_id,category_name
AEC630_2025_26,36283,Course Grade,Manual/Other,,,,,,
AEC631_2025_26,36282,Course Grade,Manual/Other,,,,,,
AEC632_2025_26,36281,Course Grade,Manual/Other,,,,,,
AEC633_2025_26,35178,Course Grade,Manual/Other,,,,,,
AEC636_2025_26,36280,Course Grade,Manual/Other,,,,,,
AEC637_2025_26,36279,Course Grade,Manual/Other,,,,,,
AEC638_2025_26,36495,Course Grade,Manual/Other,,,,,,
AEC639_2025_26,36278,Course Grade,Manual/Other,,,,,,
AEC640_2025_26,36277,Course Grade,Manual/Other,,,,,,
AEC641_2025_26,36276,Course Grade,Manual/Other,,,,,,
AEC642_2025_26,36275,Course Grade,Manual/Other,,,,,,
AEC645_2025_26,36274,Course Grade,Manual/Other,,,,,,
AEC646_2025_26,35172,Course Grade,Manual/Other,,,,,,
AEC700_2025_26,35198,Course Grade,Manual/Other,,,,,,
AED0101_2025_26,34679,Course Grade,Manual/Other,,,,,,
AED0102_2025_26,36143,Course Grade,Manual/Other,,,,,,
AED0103_2025_26,36142,Course Grade,Manual/Other,,,,,,
AED0104_2025_26,34853,Course Grade,Manual/Other,,,,,,
AED0105_2025_26,34678,Course Grade,Manual/Other,,,,,,
AED0106_2025_26,34677,Course Grade,Manual/Other,,,,,,
AED0107_2025_26,34676,Course Grade,Manual/Other,,,,,,
AED0108_2025_26,36141,Course Grade,Manual/Other,,,,,,
AED0201_2025_26,34874,Course Grade,Manual/Other,,,,,,
AED0202_2025_26,34871,Course Grade,Manual/Other,,,,,,
AED0203_2025_26,34875,Course Grade,Manual/Other,,,,,,
AED0204_2025_26,34872,Course Grade,Manual/Other,,,,,,
AED0205_2025_26,34873,Course Grade,Manual/Other,,,,,,
AED0206_2025_26,36152,Course Grade,Manual/Other,,,,,,
AED0207_2025_26,36151,Course Grade,Manual/Other,,,,,,
AED0208_2025_26,36150,Course Grade,Manual/Other,,,,,,
AED0209_2025_26,36149,Course Grade,Manual/Other,,,,,,
AED0210_2025_26,36148,Course Grade,Manual/Other,,,,,,
AED0301_2025_26,34914,Course Grade,Manual/Other,,,,,,
AED0302_2025_26,34917,Course Grade,Manual/Other,,,,,,
AED0303_2025_26,34915,Course Grade,Manual/Other,,,,,,
AED0304_2025_26,35186,Course Grade,Manual/Other,,,,,,
AED0305_2025_26,34916,Course Grade,Manual/Other,,,,,,
AED0306_2025_26,35523,Course Grade,Manual/Other,,,,,,
AED0307_2025_26,35522,Course Grade,Manual/Other,,,,,,
AED0308_2025_26,35521,Course Grade,Manual/Other,,,,,,
AED0309_2025_26,35520,Course Grade,Manual/Other,,,,,,
AED165_2025_26,36174,Course Grade,Manual/Other,,,,,,
AED170_2025_26,36173,Course Grade,Manual/Other,,,,,,
AED175_2025_26,36172,Course Grade,Manual/Other,,,,,,
AED265_2025_26,36303,Course Grade,Manual/Other,,,,,,
AED350_2025_26,34943,Course Grade,Manual/Other,,,,,,
AED355_2025_26,34944,Course Grade,Manual/Other,,,,,,
AED360_2025_26,35519,Course Grade,Manual/Other,,,,,,
AED365_2025_26,35518,Course Grade,Manual/Other,,,,,,
AED370_2025_26,35517,Course Grade,Manual/Other,,,,,,
AEL1301_2025_26,33925,Course Grade,Manual/Other,,,,,,
AEL2301_2025_26,33945,Course Grade,Manual/Other,,,,,,
AEL2302_2025_26,34321,Course Grade,Manual/Other,,,,,,
AEL2303_2025_26,36388,Course Grade,Manual/Other,,,,,,
AEL3301_2025_26,34355,Course Grade,Manual/Other,,,,,,
AEL3302_2025_26,34475,Course Grade,Manual/Other,,,,,,
AEX2501_2025_26,33918,Course Grade,Manual/Other,,,,,,
AEX2502_2025_26,33938,Course Grade,Manual/Other,,,,,,
AEX2503_2025_26,35900,Course Grade,Manual/Other,,,,,,
AEX3306_2025_26,35615,Course Grade,Manual/Other,,,,,,
AEX4300_2025_26,34019,Course Grade,Manual/Other,,,,,,
AEX4301_2025_26,34023,Course Grade,Manual/Other,,,,,,
AEX4302_2025_26,34022,Course Grade,Manual/Other,,,,,,
AEX4303_2025_26,34021,Course Grade,Manual/Other,,,,,,
AEX4304_2025_26,35775,Course Grade,Manual/Other,,,,,,
AEX4305_2025_26,35702,Course Grade,Manual/Other,,,,,,
AEX4306_2025_26,35774,Course Grade,Manual/Other,,,,,,
AEX612_2025_26,35184,Course Grade,Manual/Other,,,,,,
AEX613_2025_26,35180,Course Grade,Manual/Other,,,,,,
AEX614_2025_26,35176,Course Grade,Manual/Other,,,,,,
AEX615_2025_26,35177,Course Grade,Manual/Other,,,,,,
AEX616_2025_26,35185,Course Grade,Manual/Other,,,,,,
AEX617_2025_26,35179,Course Grade,Manual/Other,,,,,,
AEX618_2025_26,35183,Course Grade,Manual/Other,,,,,,
AEX619_2025_26,35182,Course Grade,Manual/Other,,,,,,
AEX620_2025_26,35134,Course Grade,Manual/Other,,,,,,
AGR2501_2025_26,33917,Course Grade,Manual/Other,,,,,,
AGR3501_2025_26,34024,Course Grade,Manual/Other,,,,,,
AGR3502_2025_26,34030,Course Grade,Manual/Other,,,,,,
AGR3503_2025_26,35743,Course Grade,Manual/Other,,,,,,
AHC2303_2025_26,36447,Course Grade,Manual/Other,,,,,,
AHC3302_2025_26,34522,Course Grade,Manual/Other,,,,,,
AHC3303_2025_26,34506,Course Grade,Manual/Other,,,,,,
AHC3304_2025_26,36337,Course Grade,Manual/Other,,,,,,
AHC3305_2025_26,36477,Course Grade,Manual/Other,,,,,,
AHC3306_2025_26,35776,Course Grade,Manual/Other,,,,,,
AHC4201_2025_26,36293,Course Grade,Manual/Other,,,,,,
AHC4202_2025_26,34598,Course Grade,Manual/Other,,,,,,
AHC4203_2025_26,34601,Course Grade,Manual/Other,,,,,,
AHC4206_2025_26,36285,Course Grade,Manual/Other,,,,,,
AHN3301_2025_26,34680,Course Grade,Manual/Other,,,,,,
AHN3302_2025_26,34749,Course Grade,Manual/Other,,,,,,
AHN3303_2025_26,34750,Course Grade,Manual/Other,,,,,,
AHN3304_2025_26,36085,Course Grade,Manual/Other,,,,,,
AHN3305_2025_26,36084,Course Grade,Manual/Other,,,,,,
ALL2301_2025_26,34534,Course Grade,Manual/Other,,,,,,
ALL2302_2025_26,36437,Course Grade,Manual/Other,,,,,,
ALL3301_2025_26,34425,Course Grade,Manual/Other,,,,,,
ALL3302_2025_26,34454,Course Grade,Manual/Other,,,,,,
ALL402_2025_26,34770,Course Grade,Manual/Other,,,,,,
ALL4301_2025_26,34575,Course Grade,Manual/Other,,,,,,
ALL4302_2025_26,36333,Course Grade,Manual/Other,,,,,,
ALL4303_2025_26,34673,Course Grade,Manual/Other,,,,,,
ALL4305_2025_26,36332,Course Grade,Manual/Other,,,,,,
ALL4306_2025_26,34671,Course Grade,Manual/Other,,,,,,
ALL4307_2025_26,34672,Course Grade,Manual/Other,,,,,,
ALL501_2025_26,35126,Course Grade,Manual/Other,,,,,,
ALL505_2025_26,35127,Course Grade,Manual/Other,,,,,,
ALL506_2025_26,36357,Course Grade,Manual/Other,,,,,,
ALL507_2025_26,36356,Course Grade,Manual/Other,,,,,,
ALT1301_2025_26,34033,Course Grade,Manual/Other,,,,,,
ALT2301_2025_26,34675,Course Grade,Manual/Other,,,,,,
ALT2302_2025_26,33950,Course Grade,Manual/Other,,,,,,
ALT2303_2025_26,36507,Course Grade,Manual/Other,,,,,,
ALT2304_2025_26,34699,Course Grade,Manual/Other,,,,,,
ALT3301_2025_26,36501,Course Grade,Manual/Other,,,,,,
ALT3302_2025_26,36249,Course Grade,Manual/Other,,,,,,
ALT3303_2025_26,34426,Course Grade,Manual/Other,,,,,,
ALT3304_2025_26,34357,Course Grade,Manual/Other,,,,,,
ALT3306_2025_26,36522,Course Grade,Manual/Other,,,,,,
ALT4301_2025_26,34579,Course Grade,Manual/Other,,,,,,
ALT4302_2025_26,36331,Course Grade,Manual/Other,,,,,,
ALT4303_2025_26,34548,Course Grade,Manual/Other,,,,,,
ALT4304_2025_26,34580,Course Grade,Manual/Other,,,,,,
ALT501_2025_26,36529,Course Grade,Manual/Other,,,,,,
ALT503_2025_26,36532,Course Grade,Manual/Other,,,,,,
ALT505_2025_26,35128,Course Grade,Manual/Other,,,,,,
ALT506_2025_26,36531,Course Grade,Manual/Other,,,,,,
ALT511_2025_26,36530,Course Grade,Manual/Other,,,,,,
ALT600_2025_26,36563,Course Grade,Manual/Other,,,,,,
AM5301_2025_26,35139,Course Grade,Manual/Other,,,,,,
AM5302_2025_26,35138,Course Grade,Manual/Other,,,,,,
AM5303_2025_26,35140,Course Grade,Manual/Other,,,,,,
AM5308_2025_26,36232,Course Grade,Manual/Other,,,,,,
AM5308_2025_26,36706,Assignment 1,Manual/Other,,40.0,,,,
AM5308_2025_26,36709,Assignment 2,Manual/Other,,20.0,,,,
AM5309_2025_26,35137,Course Grade,Manual/Other,,,,,,
AM6000_2025_26,35110,Course Grade,Manual/Other,,,,,,
AM6409_2025_26,35146,Course Grade,Manual/Other,,,,,,
ANS2501_2025_26,33921,Course Grade,Manual/Other,,,,,,
ANS2502_2025_26,33920,Course Grade,Manual/Other,,,,,,
ANS2503_2025_26,33919,Course Grade,Manual/Other,,,,,,
ANS2504_2025_26,35575,Course Grade,Manual/Other,,,,,,
ANS2505_2025_26,35574,Course Grade,Manual/Other,,,,,,
ANS2506_2025_26,35582,Course Grade,Manual/Other,,,,,,
ANS2507_2025_26,35581,Course Grade,Manual/Other,,,,,,
ANS2508_2025_26,35580,Course Grade,Manual/Other,,,,,,
ANS2509_2025_26,35595,Course Grade,Manual/Other,,,,,,
ANS3501_2025_26,34136,Course Grade,Manual/Other,,,,,,
ANS3502_2025_26,34142,Course Grade,Manual/Other,,,,,,
ANS3503_2025_26,34138,Course Grade,Manual/Other,,,,,,
ANS3506_2025_26,34141,Course Grade,Manual/Other,,,,,,
ANS3507_2025_26,35652,Course Grade,Manual/Other,,,,,,
ANS3508_2025_26,35651,Course Grade,Manual/Other,,,,,,
ANS3509_2025_26,35650,Course Grade,Manual/Other,,,,,,
ANS3510_2025_26,35649,Course Grade,Manual/Other,,,,,,
ANS3511_2025_26,35648,Course Grade,Manual/Other,,,,,,
ANS3513_2025_26,34140,Course Grade,Manual/Other,,,,,,
ANS3514_2025_26,35647,Course Grade,Manual/Other,,,,,,
ANS3515_2025_26,35617,Course Grade,Manual/Other,,,,,,
ANS444_2025_26,34192,Course Grade,Manual/Other,,,,,,
ANS4500_2025_26,34185,Course Grade,Manual/Other,,,,,,
ANS4501_2025_26,34020,Course Grade,Manual/Other,,,,,,
ANS4502_2025_26,34184,Course Grade,Manual/Other,,,,,,
ANS4503_2025_26,34187,Course Grade,Manual/Other,,,,,,
ANS4504_2025_26,34186,Course Grade,Manual/Other,,,,,,
ANS4505_2025_26,34183,Course Grade,Manual/Other,,,,,,
ANS4506_2025_26,35636,Course Grade,Manual/Other,,,,,,
ANS4507_2025_26,35635,Course Grade,Manual/Other,,,,,,
ANS4508_2025_26,35634,Course Grade,Manual/Other,,,,,,
ANS4509_2025_26,35633,Course Grade,Manual/Other,,,,,,
ANS4510_2025_26,35632,Course Grade,Manual/Other,,,,,,
ANS601_2025_26,35141,Course Grade,Manual/Other,,,,,,
ANS602_2025_26,35144,Course Grade,Manual/Other,,,,,,
ANS603_2025_26,35208,Course Grade,Manual/Other,,,,,,
ANS604_2025_26,35209,Course Grade,Manual/Other,,,,,,
ANS606_2025_26,35142,Course Grade,Manual/Other,,,,,,
ANS607_2025_26,36203,Course Grade,Manual/Other,,,,,,
ANS608_2025_26,36202,Course Grade,Manual/Other,,,,,,
ANS609_2025_26,35143,Course Grade,Manual/Other,,,,,,
ANS612_2025_26,36302,Course Grade,Manual/Other,,,,,,
ANS613_2025_26,36484,Course Grade,Manual/Other,,,,,,
ANS614_2025_26,36483,Course Grade,Manual/Other,,,,,,
ANS615_2025_26,36482,Course Grade,Manual/Other,,,,,,
ANS616_2025_26,36301,Course Grade,Manual/Other,,,,,,
ANS617_2025_26,36300,Course Grade,Manual/Other,,,,,,
ANS618_2025_26,36481,Course Grade,Manual/Other,,,,,,
ANS624_2025_26,36299,Course Grade,Manual/Other,,,,,,
ANS631_2025_26,35133,Course Grade,Manual/Other,,,,,,
ANS641_2025_26,36201,Course Grade,Manual/Other,,,,,,
ANS650_2025_26,36200,Course Grade,Manual/Other,,,,,,
ANS655_2025_26,36366,Course Grade,Manual/Other,,,,,,
ANS657_2025_26,36365,Course Grade,Manual/Other,,,,,,
ANS658_2025_26,36364,Course Grade,Manual/Other,,,,,,
ANS661_2025_26,36363,Course Grade,Manual/Other,,,,,,
ANS662_2025_26,36362,Course Grade,Manual/Other,,,,,,
ANS666_2025_26,36361,Course Grade,Manual/Other,,,,,,
ANS731_2025_26,35052,Course Grade,Manual/Other,,,,,,
ANT1301_2025_26,33976,Course Grade,Manual/Other,,,,,,
ANT2301_2025_26,33932,Course Grade,Manual/Other,,,,,,
B1501_2025_26,33868,Course Grade,Manual/Other,,,,,,
B1501_2025_26,35419,P1,Manual/Other,,100.0,,,,
B1501_2025_26,35420,P2,Manual/Other,,100.0,,,,
B1501_2025_26,35421,P3,Manual/Other,,100.0,,,,
B1501_2025_26,35422,P4,Manual/Other,,100.0,,,,
B1501_2025_26,35423,P5,Manual/Other,,100.0,,,,
B1501_2025_26,35424,P6,Manual/Other,,100.0,,,,
B1501_2025_26,35425,P7,Manual/Other,,100.0,,,,
B1501_2025_26,35426,P8,Manual/Other,,100.0,,,,
B1501_2025_26,35427,P9,Manual/Other,,100.0,,,,
B1501_2025_26,35428,T1,Manual/Other,,100.0,,,,
B1501_2025_26,35429,T2,Manual/Other,,100.0,,,,
B1501_2025_26,35430,CRS,Manual/Other,,100.0,,,,
B1502_2025_26,35571,Course Grade,Manual/Other,,,,,,
B214_2025_26,34936,Course Grade,Manual/Other,,,,,,
B224_2025_26,34935,Course Grade,Manual/Other,,,,,,
B2502_2025_26,35961,Course Grade,Manual/Other,,,,,,
B2601_2025_26,35659,Course Grade,Manual/Other,,,,,,
B2603_2025_26,34036,Course Grade,Manual/Other,,,,,,
B2604_2025_26,34037,Course Grade,Manual/Other,,,,,,
B2604_2025_26,35469,Test 1,Manual/Other,,100.0,,,,
B2604_2025_26,35470,Test 2,Manual/Other,,100.0,,,,
B2604_2025_26,35471,Practical 1,Manual/Other,,100.0,,,,
B2604_2025_26,35472,Practical 2,Manual/Other,,100.0,,,,
B2604_2025_26,35473,Practical 3,Manual/Other,,100.0,,,,
B2604_2025_26,35474,Practical 4,Manual/Other,,100.0,,,,
B2604_2025_26,35475,Practical 5,Manual/Other,,100.0,,,,
B2604_2025_26,35476,Assignment,Manual/Other,,100.0,,,,
B2604_2025_26,35477,CRS,Manual/Other,,100.0,,,,
B324_2025_26,36310,Course Grade,Manual/Other,,,,,,
B334_2025_26,34550,Course Grade,Manual/Other,,,,,,
B344_2025_26,36309,Course Grade,Manual/Other,,,,,,
B3501_2025_26,35893,Course Grade,Manual/Other,,,,,,
B3502_2025_26,34167,Course Grade,Manual/Other,,,,,,
B3503_2025_26,35790,Course Grade,Manual/Other,,,,,,
B3504_2025_26,34283,Course Grade,Manual/Other,,,,,,
B3505_2025_26,35789,Course Grade,Manual/Other,,,,,,
B3506_2025_26,34362,Course Grade,Manual/Other,,,,,,
B354_2025_26,34552,Course Grade,Manual/Other,,,,,,
B404_2025_26,34462,Course Grade,Manual/Other,,,,,,
B4501_2025_26,34013,Course Grade,Manual/Other,,,,,,
B4501_2025_26,35448,Practical 2,Manual/Other,,25.0,,,,
B4501_2025_26,35449,Practical 3,Manual/Other,,25.0,,,,
B4501_2025_26,35450,Practical 5,Manual/Other,,25.0,,,,
B4501_2025_26,35451,Practical 6,Manual/Other,,50.0,,,,
B4501_2025_26,35452,Test 1,Manual/Other,,100.0,,,,
B4501_2025_26,35453,Test 2,Manual/Other,,100.0,,,,
B4501_2025_26,35454,Test 3,Manual/Other,,100.0,,,,
B4501_2025_26,35478,CRS,Manual/Other,,100.0,,,,
B4502_2025_26,34096,Course Grade,Manual/Other,,,,,,
B4502_2025_26,34907,Quizz - Blood Pigments,Tests & Quizzes,8682,10.0,2025-09-11 18:00:00,,,
B4502_2025_26,35431,T 1,Manual/Other,,100.0,,,,
B4502_2025_26,35432,T 2,Manual/Other,,100.0,,,,
B4502_2025_26,35433,T Avg,Manual/Other,,100.0,,,,
B4502_2025_26,35434,P 1,Manual/Other,,100.0,,,,
B4502_2025_26,35435,P 2,Manual/Other,,100.0,,,,
B4502_2025_26,35436,P 3,Manual/Other,,100.0,,,,
B4502_2025_26,35437,P 4,Manual/Other,,100.0,,,,
B4502_2025_26,35438,P Avg,Manual/Other,,100.0,,,,
B4502_2025_26,35439,Ass 1,Manual/Other,,100.0,,,,
B4502_2025_26,35440,Ass 2,Manual/Other,,100.0,,,,
B4502_2025_26,35441,Ass Avg,Manual/Other,,100.0,,,,
B4502_2025_26,35442,Pres,Manual/Other,,100.0,,,,
B4502_2025_26,35443,CSR,Manual/Other,,100.0,,,,
B4503_2025_26,35747,Course Grade,Manual/Other,,,,,,
B4504_2025_26,34299,Course Grade,Manual/Other,,,,,,
B4505_2025_26,35734,Course Grade,Manual/Other,,,,,,
B4506_2025_26,35732,Course Grade,Manual/Other,,,,,,
B4507_2025_26,34109,Course Grade,Manual/Other,,,,,,
B4508_2025_26,35731,Course Grade,Manual/Other,,,,,,
B4509_2025_26,34056,Course Grade,Manual/Other,,,,,,
B4509_2025_26,35480,P1,Manual/Other,,100.0,,,,
B4509_2025_26,35481,P2,Manual/Other,,100.0,,,,
B4509_2025_26,35482,P3,Manual/Other,,100.0,,,,
B4509_2025_26,35483,P4,Manual/Other,,100.0,,,,
B4509_2025_26,35484,Quiz,Manual/Other,,100.0,,,,
B4509_2025_26,35485,T1,Manual/Other,,100.0,,,,
B4509_2025_26,35486,T2,Manual/Other,,100.0,,,,
B4509_2025_26,35487,Course Work,Manual/Other,,100.0,,,,
BBE1301_2025_26,34767,Course Grade,Manual/Other,,,,,,
BBE1302_2025_26,34766,Course Grade,Manual/Other,,,,,,
BBE1303_2025_26,34769,Course Grade,Manual/Other,,,,,,
BBE1304_2025_26,34765,Course Grade,Manual/Other,,,,,,
BBE1305_2025_26,34768,Course Grade,Manual/Other,,,,,,
BBE1306_2025_26,36110,Course Grade,Manual/Other,,,,,,
BBE1307_2025_26,34628,Course Grade,Manual/Other,,,,,,
BBE1308_2025_26,35990,Course Grade,Manual/Other,,,,,,
BBE1309_2025_26,36109,Course Grade,Manual/Other,,,,,,
BBE1310_2025_26,36108,Course Grade,Manual/Other,,,,,,
BBE2301_2025_26,34613,Course Grade,Manual/Other,,,,,,
BBE2302_2025_26,34612,Course Grade,Manual/Other,,,,,,
BBE2303_2025_26,34610,Course Grade,Manual/Other,,,,,,
BBE2304_2025_26,34611,Course Grade,Manual/Other,,,,,,
BBE2305_2025_26,34609,Course Grade,Manual/Other,,,,,,
BBE2306_2025_26,36016,Course Grade,Manual/Other,,,,,,
BBE2307_2025_26,36015,Course Grade,Manual/Other,,,,,,
BBE2308_2025_26,36014,Course Grade,Manual/Other,,,,,,
BBE2309_2025_26,36013,Course Grade,Manual/Other,,,,,,
BBE2310_2025_26,36012,Course Grade,Manual/Other,,,,,,
BBE3301_2025_26,34570,Course Grade,Manual/Other,,,,,,
BBE3302_2025_26,34574,Course Grade,Manual/Other,,,,,,
BBE3303_2025_26,34572,Course Grade,Manual/Other,,,,,,
BBE3304_2025_26,34573,Course Grade,Manual/Other,,,,,,
BBE3305_2025_26,34571,Course Grade,Manual/Other,,,,,,
BBE3306_2025_26,36031,Course Grade,Manual/Other,,,,,,
